,accession,trivname
329,Q96LW9,ZSC31_HUMAN
330,Q8WTR7,ZN473_HUMAN
331,Q7Z7K2,ZN467_HUMAN
332,Q9BYJ9,YTHD1_HUMAN
333,Q6ECI4,ZN470_HUMAN
334,Q96H40,ZN486_HUMAN
335,Q92618,ZN516_HUMAN
336,Q9BRH9,ZN251_HUMAN
337,O75346,ZN253_HUMAN
338,Q6ZVL8,YP033_HUMAN
339,Q9GZX5,ZN350_HUMAN
340,Q7L945,ZN627_HUMAN
341,Q09FC8,ZN415_HUMAN
342,Q8NB16,MLKL_HUMAN
343,Q13201,MMRN1_HUMAN
344,Q8IVT2,MISP_HUMAN
345,Q6WCQ1,MPRIP_HUMAN
346,Q13875,MOBP_HUMAN
347,Q8N594,MPND_HUMAN
348,Q9NZP5,O5AC2_HUMAN
349,Q8NG76,O2T33_HUMAN
350,Q8NGY7,O10J6_HUMAN
351,P59922,OR2B8_HUMAN
352,Q8NGP2,OR8J1_HUMAN
353,Q32M88,PGGHG_HUMAN
354,Q53GL7,PAR10_HUMAN
355,P78356,PI42B_HUMAN
356,Q92777,SYN2_HUMAN
357,Q9Y285,SYFA_HUMAN
358,Q6ZW31,SYDE1_HUMAN
359,P07437,TBB5_HUMAN
360,Q14C87,T132D_HUMAN
361,Q6DHY5,TBC3G_HUMAN
362,P59538,T2R31_HUMAN
363,Q14DG7,T132B_HUMAN
364,Q495M9,USH1G_HUMAN
365,Q6NUM6,TYW1B_HUMAN
366,P51784,UBP11_HUMAN
367,P04818,TYSY_HUMAN
368,O14598,VCY1_HUMAN
369,P21281,VATB2_HUMAN
370,Q9HAW7,UD17_HUMAN
371,P63122,VPK8_HUMAN
372,Q9NYS7,WSB2_HUMAN
373,Q2TAL6,VWC2_HUMAN
374,Q9BTA9,WAC_HUMAN
375,Q9GZS3,WDR61_HUMAN
376,Q7L0L9,YA043_HUMAN
377,Q9GZM5,YIPF3_HUMAN
378,Q9H5H4,ZN768_HUMAN
379,Q32MQ0,ZN750_HUMAN
380,Q5T1R4,ZEP3_HUMAN
381,B2RXF5,ZBT42_HUMAN
382,Q5TFG8,ZC21B_HUMAN
383,Q9C0D4,Z518B_HUMAN
384,Q9Y4P3,TBL2_HUMAN
385,P59537,T2R43_HUMAN
386,O43680,TCF21_HUMAN
387,Q13428,TCOF_HUMAN
388,Q9BRJ7,TIRR_HUMAN
389,O60220,TIM8A_HUMAN
390,P45379,TNNT2_HUMAN
391,Q9P0T7,TMEM9_HUMAN
392,O75509,TNR21_HUMAN
393,Q13472,TOP3A_HUMAN
394,Q9BZY9,TRI31_HUMAN
395,Q9NUR3,TM74B_HUMAN
396,O94811,TPPP_HUMAN
397,O15321,TM9S1_HUMAN
398,A8MYB1,TMC5B_HUMAN
399,A0A1B0GTI8,TM272_HUMAN
400,C9JQI7,TM232_HUMAN
401,A6NIH7,U119B_HUMAN
402,O75604,UBP2_HUMAN
403,Q8N806,UBR7_HUMAN
404,Q765I0,UTS2B_HUMAN
405,Q9H321,VCX3B_HUMAN
406,O14599,VCY2_HUMAN
407,Q9H6R7,WDCP_HUMAN
408,P04628,WNT1_HUMAN
409,Q9UN37,VPS4A_HUMAN
410,Q9BYP7,WNK3_HUMAN
411,Q9H1J7,WNT5B_HUMAN
412,Q9C0J8,WDR33_HUMAN
413,P56705,WNT4_HUMAN
414,Q9HAD4,WDR41_HUMAN
415,P46094,XCR1_HUMAN
416,Q8IV35,WDR49_HUMAN
417,Q9UBD3,XCL2_HUMAN
418,Q9Y334,VWA7_HUMAN
419,Q9H967,WDR76_HUMAN
420,Q5THJ4,VP13D_HUMAN
421,Q86Y07,VRK2_HUMAN
422,Q8N2B8,YB035_HUMAN
423,Q92536,YLAT2_HUMAN
424,Q9Y2L8,ZKSC5_HUMAN
425,P52744,ZN138_HUMAN
426,Q0VGE8,ZN816_HUMAN
427,Q9UPR6,ZFR2_HUMAN
428,Q9C0B9,ZCHC2_HUMAN
429,Q68DK2,ZFY26_HUMAN
430,Q9H8X9,ZDH11_HUMAN
431,Q96NJ6,ZFP3_HUMAN
432,O96006,ZBED1_HUMAN
433,Q9H0M4,ZCPW1_HUMAN
434,Q8N8P6,YX004_HUMAN
435,P17040,ZSC20_HUMAN
436,Q9UC06,ZNF70_HUMAN
437,O95125,ZN202_HUMAN
438,Q6P9A1,ZN530_HUMAN
439,Q86XF7,ZN575_HUMAN
440,O60281,ZN292_HUMAN
441,Q8N988,ZN557_HUMAN
442,Q9C0F3,ZN436_HUMAN
443,O14894,T4S5_HUMAN
444,P26639,SYTC_HUMAN
445,Q92609,TBCD5_HUMAN
446,Q9NXG2,THUM1_HUMAN
447,Q16890,TPD53_HUMAN
448,Q9C035,TRIM5_HUMAN
449,Q96GJ1,TRM2_HUMAN
450,Q6Q0C0,TRAF7_HUMAN
451,O75069,TMCC2_HUMAN
452,P28289,TMOD1_HUMAN
453,P01375,TNFA_HUMAN
454,Q9NYL9,TMOD3_HUMAN
455,Q9NQ34,TMM9B_HUMAN
456,P57727,TMPS3_HUMAN
457,Q96EY4,TMA16_HUMAN
458,Q8NFZ5,TNIP2_HUMAN
459,Q8IUR5,TMTC1_HUMAN
460,Q8N6Q1,TMC5A_HUMAN
461,P13805,TNNT1_HUMAN
462,P63316,TNNC1_HUMAN
463,Q9Y5U2,TSSC4_HUMAN
464,Q9H2G4,TSYL2_HUMAN
465,Q8NHM4,TRY6_HUMAN
466,A6NLP5,TTC36_HUMAN
467,Q92574,TSC1_HUMAN
468,Q16763,UBE2S_HUMAN
469,Q5TAP6,UT14C_HUMAN
470,Q8IWV7,UBR1_HUMAN
471,P22415,USF1_HUMAN
472,O60701,UGDH_HUMAN
473,A6NLC8,YE016_HUMAN
474,Q5TC79,ZBT37_HUMAN
475,P0DKX0,ZN728_HUMAN
476,P31629,ZEP2_HUMAN
477,Q86UZ6,ZBT46_HUMAN
478,Q96N20,ZN75A_HUMAN
479,Q8WV99,ZFN2B_HUMAN
480,O95789,ZMYM6_HUMAN
481,P17023,ZNF19_HUMAN
482,Q5T200,ZC3HD_HUMAN
483,Q9BSG1,ZNF2_HUMAN
484,Q5T4F4,ZFY27_HUMAN
485,Q05516,ZBT16_HUMAN
486,P51814,ZNF41_HUMAN
487,Q03936,ZNF92_HUMAN
488,Q9NX65,ZSC32_HUMAN
489,A8MXY4,ZNF99_HUMAN
490,Q9H869,YYAP1_HUMAN
491,Q3ZCX4,ZN568_HUMAN
492,Q9Y4E5,ZN451_HUMAN
493,Q5TYW1,ZN658_HUMAN
494,Q9UI25,YP002_HUMAN
495,Q86TG1,T150A_HUMAN
496,Q9P1P5,TAAR2_HUMAN
497,Q8IV04,TB10C_HUMAN
498,Q12870,TCF15_HUMAN
499,Q9NUH8,TM14B_HUMAN
500,Q9HAV5,TNR27_HUMAN
501,Q495X7,TRI60_HUMAN
502,Q32P41,TRM5_HUMAN
503,O95361,TRI16_HUMAN
504,Q9H2L4,TMM60_HUMAN
505,Q96MH6,TMM68_HUMAN
506,Q12816,TROP_HUMAN
507,P56557,TM50B_HUMAN
508,Q96Q05,TPPC9_HUMAN
509,P11387,TOP1_HUMAN
510,Q59H18,TNI3K_HUMAN
511,Q9Y4K3,TRAF6_HUMAN
512,Q13470,TNK1_HUMAN
513,P12270,TPR_HUMAN
514,A0PJW6,TM223_HUMAN
515,Q15785,TOM34_HUMAN
516,Q9BXA7,TSSK1_HUMAN
517,A0JD37,TRDV3_HUMAN
518,Q96RJ3,TR13C_HUMAN
519,A0A539,TVB42_HUMAN
520,O75643,U520_HUMAN
521,Q9BZV1,UBXN6_HUMAN
522,Q69YN4,VIR_HUMAN
523,Q9UPY6,WASF3_HUMAN
524,Q9H7D7,WDR26_HUMAN
525,Q9P2L0,WDR35_HUMAN
526,Q1A5X7,WHAL1_HUMAN
527,Q5GFL6,VWA2_HUMAN
528,Q96TA2,YMEL1_HUMAN
529,Q9H6B1,Z385D_HUMAN
530,Q9HBT8,Z286A_HUMAN
531,Q8IYP9,ZDH23_HUMAN
532,Q8NDX6,ZN740_HUMAN
533,O43264,ZW10_HUMAN
534,Q6ZN11,ZN793_HUMAN
535,Q8N972,ZN709_HUMAN
536,Q53FD0,ZC21C_HUMAN
537,P43403,ZAP70_HUMAN
538,Q8N5P1,ZC3H8_HUMAN
539,Q96MR9,ZN560_HUMAN
540,Q8N9L7,YV006_HUMAN
541,Q8NF99,ZN397_HUMAN
542,Q96BZ9,TBC20_HUMAN
543,Q16635,TAZ_HUMAN
544,Q8N3H0,TAFA2_HUMAN
545,P59541,T2R30_HUMAN
546,O43280,TREA_HUMAN
547,O43557,TNF14_HUMAN
548,P36406,TRI23_HUMAN
